,tweet,class
0,India-Australia third Test set to be shifted out of Dharamsala: BCCI sources  https://t.co/SUN2knXBbl,Sports
1,"Olympic chief Thomas Bach shares 'grief, human suffering' of Ukrainian athletes  https://t.co/EgxJVMtzha",Sports
2,"Jaydev Unadkat released from India’s squad for 2nd Test, to join Saurashtra for Ranji Trophy final  https://t.co/IILUvb7IPy",Sports
3,Watch: An acrobatic fielding effort catches Sachin Tendulkar's attention  https://t.co/zq8OmmWO7V,Sports
4,"Watch: Virat Kohli, Ravindra Jadeja imitate 'Jhoome Jo Pathaan' hook step  https://t.co/SIM13z8UIB",Sports
5,'Might have spotted rough patches from the plane': Jadeja's epic response to Nagpur pitch critics  https://t.co/bGfifiGVAn,Sports
6,Southampton sack manager Nathan Jones amid relegation fears  https://t.co/CMy2a6tV38,Sports
7,Fit-again PV Sindhu 'confident and positive' ahead of Badminton Asia Mixed Team Championship  https://t.co/8kXn0baUvS,Sports
8,NBA: Denver Nuggets' Nikola Jokic stings Charlotte Hornets again  https://t.co/vl6KO0c5DF,Sports
9,RKFC to approach court against AIFF's order to forfeit match points against Churchill Brothers FC  https://t.co/jzymLnz95U,Sports
10,NBA: Washington Wizards use efficient offensive effort to blast Indiana Pacers  https://t.co/FzF83geZ4O,Sports
11,NBA: Impressive Atlanta Hawks thrash San Antonio Spurs 125-106  https://t.co/tVHrdvGQdU,Sports
12,NBA: Miami Heat outlast Orlando Magic 107-103  https://t.co/3XO1itXmiZ,Sports
13,Migraine rules Zimbabwe star Gary Ballance out of Windies Test  https://t.co/lIts4oANlU,Sports
14,‘IPL too should have players from associates’  https://t.co/0uLBSW6dwl,Sports
15,NBA: Philadelphia 76ers beat Brooklyn Nets 101-98  https://t.co/LjYsF5CYBb,Sports
16,"NFL: For fans Super Bowl no longer a game, it's an 'experience'  https://t.co/7iG8S9H4L8",Sports
17,Stuart Broad hails Brendon McCullum's England impact ahead of first New Zealand Test  https://t.co/0lbkJAAEzW,Sports
18,"NBA: With momentum, Detroit Pistons to face shaken Toronto Raptors  https://t.co/0zo1Eyivra",Sports
19,Injury and illness-hit PSG beaten by Monaco ahead of Bayern clash  https://t.co/1iMObY6fc3,Sports
20,Australia call up left-arm spinner Kuhnemann for India tour  https://t.co/iybt52lkI7,Sports
21,'A brutal reality check': Australian cricketers blasted over 'humiliation' by India in first Test  https://t.co/JFMoqrt9DR,Sports
22,Travis Head may replace David Warner in Delhi Test: Reports  https://t.co/xTabDurxyP,Sports
23,NBA: De'Aaron Fox helps Sacramento Kings top Dallas Mavericks in OT  https://t.co/lT78JhYfJ8,Sports
24,EPL: Ten-man Wolves hit back to stun Southampton  https://t.co/qc8muxIBO5,Sports
25,EPL: Newcastle held to 1-1 draw at struggling Bournemouth  https://t.co/b416VpzT3O,Sports
